                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.97127,                0.40821,                  1.006,                0.99769,                0.99464,                0.99499,                 0.7706,                0.84093,                0.35351,                0.89116,               0.009615,               0.009615,               0.009615
                     38,                 0.9573,                0.40729,                0.99942,                0.99603,                0.99293,                0.99498,                 0.7419,                0.92948,                0.37201,                 0.9201,               0.009604,               0.009604,               0.009604
                     39,                0.95684,                0.40057,                0.99778,                0.99381,                0.99633,                0.99494,                0.77538,                0.82659,                0.34644,                0.89133,               0.009593,               0.009593,               0.009593
                     40,                0.94889,                0.41373,                 0.9878,                0.99622,                0.99199,                0.99497,                0.75717,                0.87829,                0.35309,                0.90457,               0.009582,               0.009582,               0.009582
                     41,                0.95299,                0.40182,                 1.0025,                0.99716,                 0.9957,                0.99499,                0.75549,                0.87256,                0.35006,                0.90775,               0.009571,               0.009571,               0.009571
                     42,                0.95131,                0.40087,                 0.9941,                0.99768,                0.99555,                0.99492,                0.76161,                0.84125,                0.34511,                 0.8938,                0.00956,                0.00956,                0.00956
                     43,                0.94813,                0.40469,                0.99393,                0.99677,                0.99445,                0.99499,                0.75527,                0.89453,                0.35042,                0.90654,               0.009549,               0.009549,               0.009549
                     44,                 0.9447,                0.40161,                 1.0014,                0.99783,                0.99527,                0.99499,                0.77589,                0.82753,                 0.3352,                0.88981,               0.009538,               0.009538,               0.009538
                     45,                0.95004,                0.40419,                 0.9895,                0.99715,                0.99508,                0.99499,                0.77093,                0.85649,                 0.3436,                0.89686,               0.009527,               0.009527,               0.009527
                     46,                0.94459,                0.40228,                0.98668,                0.99724,                0.99479,                0.99499,                0.76997,                0.85482,                0.35625,                0.89707,               0.009516,               0.009516,               0.009516
                     47,                0.92686,                0.39666,                0.98827,                0.99604,                0.99588,                0.99494,                0.75553,                0.87743,                 0.3518,                0.90444,               0.009505,               0.009505,               0.009505
                     48,                0.92593,                0.39695,                 0.9919,                 0.9971,                0.99517,                0.99499,                 0.7408,                0.91158,                0.34142,                0.92091,               0.009494,               0.009494,               0.009494
                     49,                 0.9343,                0.40097,                0.98755,                0.99729,                0.99577,                0.99499,                0.76772,                0.86511,                0.32907,                0.89932,               0.009483,               0.009483,               0.009483
                     50,                0.92599,                0.39072,                0.98712,                0.99738,                0.99342,                0.99499,                0.78101,                0.82095,                0.32952,                0.88645,               0.009472,               0.009472,               0.009472
                     51,                0.92482,                0.39376,                0.99194,                0.99756,                0.99536,                0.99499,                0.76772,                0.83957,                0.32978,                0.89208,               0.009461,               0.009461,               0.009461
                     52,                0.93277,                0.39415,                0.98622,                0.99763,                0.99606,                  0.995,                0.77211,                0.82902,                0.32789,                0.88955,                0.00945,                0.00945,                0.00945
                     53,                0.92876,                0.39526,                0.99285,                0.99618,                 0.9951,                0.99499,                0.75849,                0.87396,                0.34496,                0.90909,               0.009439,               0.009439,               0.009439
                     54,                0.91662,                0.39104,                0.98812,                0.99744,                0.99382,                0.99499,                0.78781,                0.79077,                0.32673,                0.88339,               0.009428,               0.009428,               0.009428
                     55,                0.91672,                0.39154,                0.98295,                0.99681,                0.99314,                0.99498,                0.76622,                0.82819,                0.33388,                0.89467,               0.009417,               0.009417,               0.009417
                     56,                0.91752,                0.38803,                0.98362,                0.99704,                0.99141,                0.99498,                0.76583,                0.83294,                0.34515,                0.89384,               0.009406,               0.009406,               0.009406
                     57,                0.91229,                0.38968,                0.97969,                0.99719,                0.99462,                0.99498,                0.78224,                0.79424,                0.32473,                0.88039,               0.009395,               0.009395,               0.009395
                     58,                0.90563,                0.38558,                0.98237,                0.99775,                0.99561,                0.99499,                0.79435,                0.78437,                0.32477,                0.87543,               0.009384,               0.009384,               0.009384
                     59,                0.90169,                0.38437,                0.98401,                0.99651,                0.99575,                0.99498,                 0.7873,                0.78795,                 0.3129,                0.87582,               0.009373,               0.009373,               0.009373
                     60,                0.89715,                0.38016,                0.98432,                0.99738,                0.99408,                  0.995,                0.78528,                 0.8029,                0.33055,                0.88315,               0.009362,               0.009362,               0.009362
                     61,                0.91424,                0.38812,                0.97515,                 0.9969,                0.99359,                0.99499,                0.78261,                0.80861,                 0.3258,                0.88393,               0.009351,               0.009351,               0.009351
                     62,                0.90034,                0.38269,                0.97738,                0.99666,                0.99507,                0.99499,                0.77453,                0.82414,                0.32123,                0.89049,                0.00934,                0.00934,                0.00934
                     63,                0.89703,                0.38378,                0.98297,                0.99603,                0.99346,                0.99498,                0.79776,                0.76365,                0.32064,                0.87405,               0.009329,               0.009329,               0.009329
                     64,                 0.8958,                0.38888,                0.97524,                0.99835,                0.99431,                  0.995,                0.78965,                0.78436,                0.32843,                0.87867,               0.009318,               0.009318,               0.009318
                     65,                0.88961,                 0.3776,                0.97235,                0.99791,                0.99296,                0.99499,                0.79744,                0.76633,                 0.3232,                0.87183,               0.009307,               0.009307,               0.009307
                     66,                0.88769,                0.38123,                0.96736,                0.99787,                 0.9955,                  0.995,                0.79808,                0.76999,                0.31253,                0.87325,               0.009296,               0.009296,               0.009296
                     67,                0.88921,                 0.3826,                0.97844,                0.99741,                0.99614,                0.99499,                0.79613,                 0.7777,                 0.3219,                0.87748,               0.009285,               0.009285,               0.009285
                     68,                0.88826,                0.38248,                 0.9725,                0.99695,                0.99299,                0.99498,                0.77894,                0.81007,                0.32004,                0.88826,               0.009274,               0.009274,               0.009274
                     69,                0.88632,                0.38481,                0.97051,                0.99858,                0.99532,                0.99499,                0.79707,                0.77094,                0.31342,                 0.8755,               0.009263,               0.009263,               0.009263
                     70,                0.89499,                0.37865,                0.97499,                0.99679,                0.99575,                0.99498,                 0.7872,                0.78933,                0.32616,                0.88116,               0.009252,               0.009252,               0.009252
                     71,                0.88569,                0.37896,                0.97734,                0.99826,                0.99551,                  0.995,                0.76595,                0.83278,                0.32391,                 0.8983,               0.009241,               0.009241,               0.009241
                     72,                0.88535,                0.37816,                0.97774,                0.99777,                0.99252,                0.99499,                0.78674,                0.78529,                0.32118,                0.88061,                0.00923,                0.00923,                0.00923
                     73,                0.88349,                 0.3755,                0.97827,                0.99719,                0.99315,                0.99498,                0.78618,                 0.8036,                0.31853,                0.88608,               0.009219,               0.009219,               0.009219
                     74,                0.87795,                0.37957,                0.96921,                0.99855,                 0.9957,                  0.995,                0.79697,                0.76838,                0.32891,                0.87255,               0.009208,               0.009208,               0.009208
                     75,                0.87129,                0.37098,                0.96644,                0.99675,                0.99662,                0.99499,                0.79243,                0.78092,                0.32506,                0.87749,               0.009197,               0.009197,               0.009197
                     76,                0.87597,                0.36525,                0.96057,                0.99879,                0.99296,                0.99499,                0.79774,                0.76749,                 0.3086,                0.86885,               0.009186,               0.009186,               0.009186
                     77,                0.87904,                0.37686,                0.96356,                  0.997,                0.99487,                0.99499,                0.80231,                0.75952,                 0.3052,                0.86719,               0.009175,               0.009175,               0.009175
                     78,                0.86751,                0.36876,                0.97249,                0.99706,                0.99329,                0.99499,                0.81208,                0.75105,                0.30822,                0.87001,               0.009164,               0.009164,               0.009164
                     79,                0.87084,                0.37233,                0.96973,                0.99835,                0.99502,                  0.995,                   0.77,                0.82609,                0.31673,                 0.8941,               0.009153,               0.009153,               0.009153
                     80,                0.87331,                0.37272,                0.96839,                0.99891,                0.99493,                0.99499,                0.78353,                0.79308,                 0.3216,                0.87972,               0.009142,               0.009142,               0.009142
                     81,                0.87215,                0.37033,                 0.9643,                 0.9986,                0.99554,                  0.995,                0.77815,                0.80555,                0.31751,                 0.8845,               0.009131,               0.009131,               0.009131
                     82,                0.86428,                0.36778,                0.96636,                0.99748,                0.99473,                0.99499,                0.77858,                0.82156,                0.31609,                0.88564,                0.00912,                0.00912,                0.00912
                     83,                0.87352,                0.37004,                0.96661,                0.99825,                0.99454,                  0.995,                0.78936,                0.78577,                0.30868,                0.87965,               0.009109,               0.009109,               0.009109
                     84,                0.86059,                 0.3669,                0.96579,                0.99734,                0.99533,                  0.995,                0.80784,                0.74727,                0.31164,                0.87106,               0.009098,               0.009098,               0.009098
                     85,                0.86229,                 0.3713,                 0.9646,                0.99869,                0.99403,                  0.995,                0.80851,                0.75731,                 0.3075,                0.86768,               0.009087,               0.009087,               0.009087
                     86,                0.86512,                0.36748,                0.97114,                0.99816,                0.99715,                  0.995,                0.79442,                0.80148,                0.30452,                0.88075,               0.009076,               0.009076,               0.009076
                     87,                0.86934,                0.36723,                0.95904,                0.99661,                 0.9958,                0.99499,                0.79392,                0.76988,                0.30473,                0.86884,               0.009065,               0.009065,               0.009065
                     88,                0.86634,                0.36928,                0.96166,                0.99807,                0.99715,                0.99499,                 0.8079,                0.75293,                0.29903,                0.86879,               0.009054,               0.009054,               0.009054
                     89,                0.86246,                0.36339,                0.96389,                0.99642,                0.99395,                0.99498,                0.79403,                0.78613,                0.31429,                0.87507,               0.009043,               0.009043,               0.009043
                     90,                0.85389,                0.36782,                 0.9577,                0.99332,                0.99158,                0.99491,                0.79531,                0.78643,                0.30791,                0.87607,               0.009032,               0.009032,               0.009032
                     91,                0.85279,                 0.3595,                0.96293,                0.99753,                0.99614,                  0.995,                0.81386,                0.73762,                0.30522,                 0.8638,               0.009021,               0.009021,               0.009021
                     92,                0.85789,                0.36573,                0.96111,                0.99874,                0.99676,                0.99499,                 0.7869,                0.79258,                0.30948,                0.88107,                0.00901,                0.00901,                0.00901
                     93,                0.85038,                 0.3635,                0.96262,                 0.9983,                 0.9958,                  0.995,                0.80799,                0.74339,                 0.3022,                0.86591,               0.008999,               0.008999,               0.008999
                     94,                0.85171,                0.36059,                0.96562,                0.99811,                0.99633,                  0.995,                0.81326,                0.75964,                0.30158,                0.87216,               0.008988,               0.008988,               0.008988
                     95,                0.85456,                0.36612,                 0.9589,                0.99802,                0.99488,                  0.995,                0.80757,                0.73429,                0.30023,                0.86601,               0.008977,               0.008977,               0.008977
                     96,                0.85018,                0.35907,                0.96029,                0.99891,                0.99551,                  0.995,                0.80281,                0.75403,                 0.2966,                0.86688,               0.008966,               0.008966,               0.008966
                     97,                 0.8526,                0.36331,                0.95866,                0.99798,                0.99662,                  0.995,                0.80609,                0.74848,                0.29664,                0.86973,               0.008955,               0.008955,               0.008955
                     98,                0.84715,                0.35829,                0.95771,                0.99782,                0.99613,                0.99499,                0.80324,                0.75881,                0.30374,                0.86846,               0.008944,               0.008944,               0.008944
                     99,                0.84589,                0.35933,                0.95583,                0.99779,                0.99754,                0.99496,                0.80857,                0.74208,                 0.3004,                0.86467,               0.008933,               0.008933,               0.008933
                    100,                0.84819,                0.36598,                0.95858,                0.99864,                0.99581,                  0.995,                0.80226,                 0.7743,                 0.3014,                0.87077,               0.008922,               0.008922,               0.008922
                    101,                0.85234,                 0.3661,                0.95808,                0.99806,                0.99313,                0.99499,                0.79468,                0.78345,                0.31519,                0.87989,               0.008911,               0.008911,               0.008911
                    102,                0.84649,                0.36363,                0.96208,                 0.9984,                0.99662,                  0.995,                0.78998,                0.78811,                0.30195,                0.87991,                 0.0089,                 0.0089,                 0.0089
                    103,                0.85106,                0.36044,                0.95326,                0.99816,                0.99525,                  0.995,                0.80883,                 0.7576,                0.30034,                0.86889,               0.008889,               0.008889,               0.008889
                    104,                0.84252,                0.36125,                0.96014,                0.99845,                0.99623,                0.99499,                0.80272,                0.74343,                0.29564,                0.86802,               0.008878,               0.008878,               0.008878
                    105,                0.83571,                0.35996,                0.95774,                0.99802,                0.99643,                  0.995,                0.78936,                0.78987,                0.30085,                0.87836,               0.008867,               0.008867,               0.008867
                    106,                0.83661,                 0.3557,                 0.9541,                 0.9967,                0.99532,                0.99499,                 0.8056,                0.74265,                0.29504,                 0.8655,               0.008856,               0.008856,               0.008856
                    107,                0.83813,                0.35689,                0.95356,                0.99826,                0.99626,                  0.995,                0.80798,                0.74085,                0.29454,                0.86614,               0.008845,               0.008845,               0.008845
                    108,                0.83919,                0.35921,                0.95941,                0.99788,                0.99512,                  0.995,                0.79966,                0.77396,                0.30031,                0.87541,               0.008834,               0.008834,               0.008834
                    109,                0.83704,                0.35827,                0.95396,                0.99797,                0.99615,                  0.995,                0.80147,                0.75237,                0.29728,                0.86842,               0.008823,               0.008823,               0.008823
                    110,                0.84784,                0.36336,                0.95462,                0.99752,                0.99191,                0.99499,                0.80289,                0.75092,                0.30549,                0.87069,               0.008812,               0.008812,               0.008812
                    111,                0.83676,                0.35828,                0.95213,                0.99704,                0.99256,                0.99499,                0.81264,                0.72009,                0.29751,                 0.8615,               0.008801,               0.008801,               0.008801
                    112,                0.82712,                0.35876,                0.95012,                0.99813,                0.99623,                  0.995,                0.80097,                0.75063,                0.30684,                0.86808,                0.00879,                0.00879,                0.00879
                    113,                0.83497,                0.35548,                0.95816,                 0.9979,                0.99169,                0.99499,                0.79591,                0.77312,                0.30408,                0.87425,               0.008779,               0.008779,               0.008779
                    114,                0.83581,                0.36187,                0.95406,                0.99803,                0.99353,                0.99499,                0.79616,                0.77372,                0.30174,                0.87218,               0.008768,               0.008768,               0.008768
                    115,                0.82765,                0.35528,                 0.9525,                0.99768,                0.99531,                  0.995,                0.81316,                0.72771,                0.29576,                0.86284,               0.008757,               0.008757,               0.008757
                    116,                0.82697,                0.35395,                 0.9526,                0.99826,                0.99661,                  0.995,                0.79452,                0.77071,                0.29903,                0.87605,               0.008746,               0.008746,               0.008746
                    117,                0.82489,                0.34843,                0.94871,                0.99852,                0.99604,                  0.995,                0.80884,                0.73712,                0.29393,                0.86366,               0.008735,               0.008735,               0.008735
